institution_id,institution_name,country,region,institution_type,institution_size,funding_type,survey_quarter,year,primary_discipline_focus,policy_stance,ai_adoption_rate,policy_maturity_score,faculty_training_hours,student_ai_literacy_index,integrity_incident_rate,learning_outcome_delta,ai_tool_diversity,infrastructure_readiness,research_output_ai_pct,student_satisfaction_score,annual_it_budget_usd,faculty_count,adoption_tier,readiness_category,training_investment_per_faculty,risk_adjusted_adoption
INST_00021,Applied Hillcrest Institute of Technology [MEX-0021],Mexico,North America,Technical Institute,Medium (5K-15K),Private,2024-Q1,2024,Business,Restrictive,32.21,3.77,39.4,98.0,8.6,7.87,4,8.44,9.56,3.38,11372201,323,Medium (20-45%),Advanced,1760.4,24.29
INST_00022,University of Clearwater [GHA-0022],Ghana,Africa,Liberal Arts College,Small (<5K),Private,2023-Q1,2023,Humanities,Integrated,11.05,2.78,12.7,46.8,7.45,15.86,2,3.95,1.02,3.81,517947,50,Low (0-20%),Underprepared,517.95,6.14
INST_00023,Fairview University of Technology [CHI-0023],Chile,Latin America,Research University,Large (15K-30K),Public,2024-Q4,2024,STEM,Permissive,82.0,3.61,39.7,98.0,21.56,7.13,5,6.14,65.0,3.34,5468884,1181,High (>45%),Developing,231.54,59.2
INST_00024,Hillcrest Institute [POL-0024],Poland,Europe,Liberal Arts College,Medium (5K-15K),Private,2024-Q1,2024,Social Sciences,Permissive,43.72,3.12,52.7,98.0,25.1,16.54,7,8.5,8.63,3.94,4889370,405,Medium (20-45%),Advanced,603.63,27.28
INST_00025,National Thornbury Institute of Science [QAT-0025],Qatar,Middle East,Research University,Medium (5K-15K),Private,2023-Q4,2023,Social Sciences,Restrictive,32.69,3.38,24.4,70.6,13.07,9.91,4,7.13,14.7,2.63,7091754,510,Medium (20-45%),Advanced,695.27,22.1
INST_00026,Eastern Oakville State University [OMA-0026],Oman,Middle East,Teaching University,Large (15K-30K),Private,2024-Q3,2024,STEM,Permissive,81.64,3.72,35.8,98.0,19.86,11.17,13,7.99,28.93,4.33,8071681,775,High (>45%),Advanced,520.75,60.74
INST_00027,University of Eastfield [UNI-0027],United Arab Emirates,Middle East,Teaching University,Small (<5K),Public,2023-Q4,2023,STEM,Integrated,37.17,3.83,27.3,59.9,5.59,20.7,5,7.83,8.25,4.52,2606385,142,Medium (20-45%),Advanced,917.74,28.47
INST_00028,Bridgeport Teaching University [IND-0028],India,Asia Pacific,Teaching University,Large (15K-30K),Public,2024-Q1,2024,Humanities,Integrated,51.51,3.63,30.7,79.5,10.99,19.89,5,6.73,17.28,4.55,4128811,1164,High (>45%),Developing,177.35,37.4
INST_00029,Clearwater Liberal Academy [IND-0029],India,Asia Pacific,Liberal Arts College,Small (<5K),Public,2023-Q3,2023,Humanities,Permissive,30.8,3.39,16.7,63.8,24.19,4.22,5,7.98,6.02,3.33,1297257,132,Medium (20-45%),Advanced,491.39,20.88
INST_00030,Greendale Community Institute [GHA-0030],Ghana,Africa,Community College,Small (<5K),Private,2024-Q4,2024,STEM,Cautious,22.19,3.28,19.5,42.2,26.06,0.01,7,4.83,2.27,2.7,464491,146,Medium (20-45%),Developing,159.07,14.56
INST_00031,University of Ashford [UNI-0031],United States,North America,Research University,Medium (5K-15K),Private,2023-Q3,2023,Business,Permissive,60.48,3.08,59.8,98.0,18.48,19.11,6,7.01,36.23,4.0,16051072,512,High (>45%),Advanced,1567.49,37.26
INST_00032,Riverside Community Technical Center [FIN-0032],Finland,Europe,Community College,Small (<5K),Mixed,2024-Q4,2024,Social Sciences,Permissive,42.58,3.38,30.0,68.5,40.19,16.22,7,7.89,4.67,3.74,1280443,85,Medium (20-45%),Advanced,753.2,28.78
INST_00033,University of Lakewood [PER-0033],Peru,Latin America,Teaching University,Very Large (>30K),Public,2024-Q1,2024,Social Sciences,Restrictive,16.37,3.14,25.8,59.7,6.12,6.27,3,6.01,4.24,3.11,4692301,7258,Low (0-20%),Developing,32.33,10.28
INST_00034,University of Riverside [KEN-0034],Kenya,Africa,Liberal Arts College,Medium (5K-15K),Public,2024-Q1,2024,Social Sciences,Cautious,25.83,3.65,23.3,60.0,22.27,8.26,6,4.84,4.57,2.95,1064884,407,Medium (20-45%),Developing,130.82,18.86
INST_00035,Lakewood Community College [ITA-0035],Italy,Europe,Community College,Medium (5K-15K),Public,2024-Q2,2024,Multidisciplinary,Restrictive,14.86,2.81,23.9,75.3,8.08,2.83,4,7.19,1.7,3.12,1360588,543,Low (0-20%),Advanced,125.28,8.35
INST_00036,Hillcrest Teaching State University [CHI-0036],China,Asia Pacific,Teaching University,Small (<5K),Public,2023-Q4,2023,Humanities,Restrictive,18.99,3.12,22.4,68.1,15.0,-5.87,2,6.04,3.56,3.42,1484694,161,Low (0-20%),Developing,461.09,11.85
INST_00037,Riverside Technical Technical University [CAN-0037],Canada,North America,Technical Institute,Small (<5K),Public,2023-Q4,2023,Multidisciplinary,Restrictive,31.34,3.64,51.2,98.0,4.92,5.79,5,8.79,13.94,4.15,1749208,140,Medium (20-45%),Advanced,624.72,22.82
INST_00038,University of Harborview [BAH-0038],Bahrain,Middle East,Teaching University,Very Large (>30K),Public,2024-Q4,2024,Social Sciences,Integrated,64.71,4.73,49.9,98.0,9.05,27.69,10,8.51,16.32,4.7,14516837,4902,High (>45%),Advanced,148.07,61.22
INST_00039,Metropolitan Bridgeport University [ARG-0039],Argentina,Latin America,Teaching University,Large (15K-30K),Public,2024-Q2,2024,STEM,Restrictive,18.63,3.2,22.7,76.4,15.42,5.04,5,6.03,6.11,2.94,2187282,650,Low (0-20%),Developing,168.25,11.92
INST_00040,University of Thornbury [UNI-0040],United States,North America,Liberal Arts College,Small (<5K),Private,2024-Q4,2024,Humanities,Restrictive,32.96,4.06,37.6,98.0,7.84,17.95,8,9.53,9.49,3.51,2328903,157,Medium (20-45%),Advanced,741.69,26.76
INST_00041,University of Willowdale [UNI-0041],United States,North America,Liberal Arts College,Small (<5K),Public,2024-Q3,2024,Social Sciences,Integrated,57.82,4.21,44.1,91.3,3.27,25.29,8,8.75,14.89,5.0,1778373,137,High (>45%),Advanced,649.04,48.68
INST_00042,Silverton Research Institute of Science [PHI-0042],Philippines,Asia Pacific,Research University,Very Large (>30K),Mixed,2024-Q3,2024,STEM,Restrictive,53.4,4.0,64.7,98.0,7.49,16.01,13,7.27,65.0,3.34,29637364,6177,High (>45%),Advanced,239.9,42.72
INST_00043,Southern Eastfield University [JAP-0043],Japan,Asia Pacific,Teaching University,Medium (5K-15K),Public,2023-Q2,2023,Health Sciences,Restrictive,12.51,2.7,24.2,58.4,12.74,-0.97,2,7.38,1.58,3.16,2148480,333,Low (0-20%),Advanced,322.59,6.76
INST_00044,University of Fairview [EGY-0044],Egypt,Africa,Technical Institute,Medium (5K-15K),Public,2023-Q2,2023,Business,Cautious,15.94,2.85,13.3,41.9,21.09,8.48,2,4.42,1.63,2.6,938366,243,Low (0-20%),Developing,193.08,9.09
INST_00045,State Fairview Institute of Science [GER-0045],Germany,Europe,Research University,Very Large (>30K),Public,2023-Q3,2023,Social Sciences,Permissive,47.16,3.06,36.8,98.0,16.09,10.35,6,7.73,19.54,3.74,28878817,1232,High (>45%),Advanced,1172.03,28.86
INST_00046,Riverside Technical Institute of Technology [ITA-0046],Italy,Europe,Technical Institute,Large (15K-30K),Mixed,2024-Q2,2024,STEM,Permissive,54.1,3.14,38.5,98.0,46.21,7.92,8,7.55,26.22,3.56,10273294,726,High (>45%),Advanced,707.53,33.97
INST_00047,Southport Research Research University [NEW-0047],New Zealand,Asia Pacific,Research University,Very Large (>30K),Public,2024-Q4,2024,STEM,Cautious,75.56,4.17,60.1,98.0,13.12,3.48,11,7.8,17.68,3.03,28055020,1419,High (>45%),Advanced,988.55,63.02
INST_00048,Springdale Institute of Science [POR-0048],Portugal,Europe,Research University,Large (15K-30K),Private,2024-Q2,2024,Business,Integrated,82.0,3.97,61.5,98.0,4.97,23.59,12,7.9,65.0,4.55,22273068,1015,High (>45%),Advanced,1097.2,65.11
INST_00049,University of Pinehurst [GHA-0049],Ghana,Africa,Technical Institute,Medium (5K-15K),Private,2023-Q3,2023,STEM,Permissive,36.6,2.37,19.7,48.5,46.42,-0.84,4,3.76,13.02,3.24,2281929,544,Medium (20-45%),Underprepared,209.74,17.35
INST_00050,Thornbury Liberal Institute [PHI-0050],Philippines,Asia Pacific,Liberal Arts College,Medium (5K-15K),Private,2024-Q2,2024,Humanities,Cautious,31.75,3.74,41.6,93.7,9.44,18.08,6,7.09,5.37,4.2,3968893,511,Medium (20-45%),Advanced,388.35,23.75
INST_00051,University of Westbrook [POR-0051],Portugal,Europe,Research University,Large (15K-30K),Public,2024-Q2,2024,Health Sciences,Cautious,53.01,3.92,33.1,98.0,12.95,18.34,9,8.12,51.42,3.76,8778551,1164,High (>45%),Advanced,377.09,41.56
INST_00052,Bridgeport Liberal Arts College [EGY-0052],Egypt,Africa,Liberal Arts College,Small (<5K),Mixed,2024-Q3,2024,Humanities,Cautious,34.34,3.12,23.8,72.2,12.68,10.91,4,4.97,8.67,3.27,454675,160,Medium (20-45%),Developing,142.09,21.43
INST_00053,Riverside Teaching State University [DEN-0053],Denmark,Europe,Teaching University,Medium (5K-15K),Public,2024-Q2,2024,STEM,Cautious,35.2,3.7,39.3,96.7,9.48,14.53,4,8.68,10.86,3.45,3893753,156,Medium (20-45%),Advanced,1248.0,26.05
INST_00054,Westbrook Liberal Institute [AUS-0054],Australia,Asia Pacific,Liberal Arts College,Large (15K-30K),Mixed,2024-Q2,2024,Business,Cautious,35.67,3.54,28.3,89.7,13.44,9.27,6,7.48,9.73,3.66,4034061,451,Medium (20-45%),Advanced,447.24,25.25
INST_00055,University of Southport [SOU-0055],South Korea,Asia Pacific,Technical Institute,Very Large (>30K),Public,2023-Q1,2023,STEM,Cautious,28.18,2.71,27.0,81.1,22.87,15.28,3,7.15,3.31,3.52,15553099,5411,Medium (20-45%),Advanced,143.72,15.27
INST_00056,University of Clearwater [IRE-0056],Ireland,Europe,Research University,Large (15K-30K),Public,2024-Q1,2024,Social Sciences,Restrictive,31.02,3.27,46.0,96.8,2.69,9.33,5,7.54,21.07,3.97,26010854,433,Medium (20-45%),Advanced,3003.56,20.29
INST_00057,Mount Pinehurst Institute [SWI-0057],Switzerland,Europe,Liberal Arts College,Medium (5K-15K),Public,2024-Q3,2024,Social Sciences,Cautious,31.92,4.02,52.1,98.0,7.69,21.47,6,7.93,7.39,4.21,3842754,278,Medium (20-45%),Advanced,691.14,25.66
INST_00058,University of Oakville [RWA-0058],Rwanda,Africa,Community College,Small (<5K),Public,2023-Q4,2023,Health Sciences,Cautious,12.55,3.42,11.8,39.1,13.56,-4.35,3,4.17,0.66,2.9,422563,133,Low (0-20%),Developing,158.86,8.58
INST_00059,Riverside Liberal Arts College [PHI-0059],Philippines,Asia Pacific,Liberal Arts College,Small (<5K),Private,2023-Q3,2023,STEM,Permissive,38.62,2.65,28.7,88.2,40.55,6.24,6,6.07,7.47,3.97,2236299,150,Medium (20-45%),Developing,745.43,20.47
INST_00060,University of Greendale [FIN-0060],Finland,Europe,Research University,Large (15K-30K),Public,2024-Q1,2024,Business,Restrictive,29.05,3.04,49.3,98.0,4.63,12.33,4,7.13,9.68,3.22,30005946,559,Medium (20-45%),Advanced,2683.89,17.66
INST_00061,Modern Oakville Polytechnic [NET-0061],Netherlands,Europe,Technical Institute,Large (15K-30K),Public,2024-Q3,2024,STEM,Integrated,78.38,4.31,51.0,98.0,4.54,26.46,10,8.5,37.63,4.72,9684379,1314,High (>45%),Advanced,368.51,67.56
INST_00062,City Clearwater College [NET-0062],Netherlands,Europe,Community College,Medium (5K-15K),Public,2024-Q2,2024,Health Sciences,Cautious,23.03,3.41,32.0,82.5,10.38,13.39,4,6.39,1.84,3.99,1151550,307,Medium (20-45%),Developing,187.55,15.71
INST_00063,Metropolitan Silverton Academic University [POL-0063],Poland,Europe,Teaching University,Medium (5K-15K),Public,2024-Q2,2024,Social Sciences,Integrated,47.72,4.46,52.0,90.7,5.61,22.44,7,8.32,13.46,5.0,4675982,546,High (>45%),Advanced,428.2,42.57
INST_00064,University of Thornbury [UNI-0064],United Arab Emirates,Middle East,Community College,Small (<5K),Public,2023-Q4,2023,Social Sciences,Integrated,30.85,4.36,21.9,57.6,4.01,20.82,6,8.83,1.35,4.44,891889,45,Medium (20-45%),Advanced,990.99,26.9
INST_00065,Greendale Institute of Science [MOR-0065],Morocco,Africa,Research University,Very Large (>30K),Public,2023-Q3,2023,Multidisciplinary,Permissive,31.95,1.84,23.4,56.0,35.7,7.39,6,4.99,16.57,3.26,7679653,1793,Medium (20-45%),Developing,214.16,11.76
INST_00066,University of Ashford [FIN-0066],Finland,Europe,Technical Institute,Medium (5K-15K),Private,2023-Q2,2023,STEM,Cautious,24.73,3.31,29.8,86.0,14.09,13.4,5,7.23,6.21,3.95,3902949,156,Medium (20-45%),Advanced,1250.95,16.37
INST_00067,Pinehurst Research Institute of Science [SOU-0067],South Korea,Asia Pacific,Research University,Large (15K-30K),Mixed,2023-Q4,2023,STEM,Integrated,57.96,3.94,39.4,95.7,12.72,24.21,6,7.82,34.58,4.33,14388276,697,High (>45%),Advanced,1032.16,45.67
INST_00068,University of Fairview [ITA-0068],Italy,Europe,Community College,Small (<5K),Public,2024-Q1,2024,STEM,Integrated,37.92,3.82,31.4,61.0,8.4,21.39,6,8.42,3.15,4.65,1144263,83,Medium (20-45%),Advanced,689.32,28.97
INST_00069,University of Lakewood [THA-0069],Thailand,Asia Pacific,Teaching University,Medium (5K-15K),Public,2023-Q4,2023,STEM,Restrictive,23.96,2.86,29.7,59.1,20.26,6.19,4,6.5,6.34,2.78,4866012,175,Medium (20-45%),Developing,1390.29,13.71
INST_00070,University of Southport [UNI-0070],United Kingdom,Europe,Research University,Medium (5K-15K),Public,2023-Q3,2023,Health Sciences,Cautious,41.21,3.78,55.9,98.0,5.53,27.76,6,7.13,27.15,4.13,5616343,514,Medium (20-45%),Advanced,546.34,31.15
INST_00071,University of Eastfield [DEN-0071],Denmark,Europe,Technical Institute,Large (15K-30K),Public,2023-Q3,2023,Health Sciences,Cautious,39.32,3.01,41.2,88.7,9.56,0.97,3,7.24,14.63,3.41,6493156,980,Medium (20-45%),Advanced,331.28,23.67
INST_00072,Crestmont Institute [DEN-0072],Denmark,Europe,Liberal Arts College,Small (<5K),Mixed,2023-Q1,2023,Humanities,Integrated,26.12,3.54,43.6,78.6,9.45,22.35,5,7.57,2.01,4.81,1840890,108,Medium (20-45%),Advanced,852.26,18.49
INST_00073,University of Ashford [VIE-0073],Vietnam,Asia Pacific,Liberal Arts College,Medium (5K-15K),Public,2024-Q3,2024,Health Sciences,Cautious,39.49,3.92,40.3,98.0,6.86,14.38,9,8.37,11.47,3.97,1452330,232,Medium (20-45%),Advanced,313.0,30.96
INST_00074,Federal Riverside University of Technology [PER-0074],Peru,Latin America,Research University,Large (15K-30K),Public,2024-Q3,2024,Social Sciences,Cautious,48.23,3.15,32.8,88.4,11.22,15.18,5,5.55,44.63,3.29,6276720,530,High (>45%),Developing,592.14,30.38
INST_00075,University of Ashford [CHI-0075],China,Asia Pacific,Teaching University,Large (15K-30K),Public,2023-Q4,2023,STEM,Cautious,35.83,2.96,26.3,82.3,14.75,2.25,3,7.8,3.33,3.41,3652421,930,Medium (20-45%),Advanced,196.37,21.21
INST_00076,University of Cedarville [NEW-0076],New Zealand,Asia Pacific,Research University,Small (<5K),Public,2023-Q4,2023,Humanities,Cautious,51.1,3.7,51.3,84.3,7.21,22.09,6,6.33,40.65,3.93,2754658,111,High (>45%),Developing,1240.84,37.81
INST_00077,Lakewood Liberal Liberal Arts College [EGY-0077],Egypt,Africa,Liberal Arts College,Small (<5K),Public,2023-Q3,2023,STEM,Cautious,13.74,2.37,19.6,57.9,14.58,4.71,3,4.28,1.53,2.76,404194,135,Low (0-20%),Developing,149.7,6.51
INST_00078,University of Oakville [KEN-0078],Kenya,Africa,Teaching University,Medium (5K-15K),Public,2024-Q2,2024,Business,Integrated,45.92,3.22,28.1,49.1,12.64,20.55,6,4.1,16.73,3.74,1122963,243,High (>45%),Developing,231.06,29.57
INST_00079,Central Greendale University of Technology [SIN-0079],Singapore,Asia Pacific,Research University,Large (15K-30K),Public,2023-Q2,2023,Health Sciences,Integrated,43.49,3.73,57.3,83.4,4.91,30.01,6,7.18,12.38,4.53,14079740,627,Medium (20-45%),Advanced,1122.79,32.44
INST_00080,Hillcrest Community Institute [ISR-0080],Israel,Middle East,Community College,Medium (5K-15K),Public,2024-Q1,2024,STEM,Cautious,22.21,4.33,23.7,56.3,17.89,8.03,5,7.88,2.24,3.7,1015764,252,Medium (20-45%),Advanced,201.54,19.23
INST_00081,University of Springdale [POL-0081],Poland,Europe,Community College,Small (<5K),Private,2023-Q1,2023,STEM,Permissive,23.65,2.4,17.3,45.9,31.02,-4.87,3,7.98,0.45,3.52,1727785,52,Medium (20-45%),Advanced,1661.33,11.35
INST_00082,Bridgeport Technical Technical University [VIE-0082],Vietnam,Asia Pacific,Technical Institute,Very Large (>30K),Public,2024-Q3,2024,STEM,Permissive,69.77,3.09,43.6,98.0,21.97,15.03,13,7.81,51.2,3.67,15777115,5774,High (>45%),Advanced,136.62,43.12
INST_00083,Westbrook Teaching Academic University [POL-0083],Poland,Europe,Teaching University,Very Large (>30K),Mixed,2024-Q3,2024,Business,Cautious,31.45,4.08,27.9,77.3,10.36,17.82,5,8.7,13.28,3.79,13396215,7159,Medium (20-45%),Advanced,93.56,25.66
INST_00084,Southport University of Technology [EGY-0084],Egypt,Africa,Research University,Very Large (>30K),Public,2024-Q1,2024,Multidisciplinary,Integrated,43.55,3.44,22.2,69.8,6.32,15.88,6,4.87,17.02,4.02,16457326,6626,Medium (20-45%),Developing,124.19,29.96
INST_00085,University of Cedarville [ARG-0085],Argentina,Latin America,Community College,Medium (5K-15K),Public,2023-Q2,2023,STEM,Permissive,14.5,2.34,9.0,49.2,21.4,3.38,4,5.39,0.75,3.4,672400,479,Low (0-20%),Developing,70.19,6.79
INST_00086,Ashford Liberal College [TUR-0086],Turkey,Middle East,Liberal Arts College,Large (15K-30K),Private,2023-Q4,2023,Humanities,Permissive,49.62,2.86,29.8,77.7,44.54,8.11,4,6.35,9.56,3.3,6613123,912,High (>45%),Developing,362.56,28.38
INST_00087,Lakewood Tech [BEL-0087],Belgium,Europe,Technical Institute,Very Large (>30K),Public,2023-Q2,2023,STEM,Cautious,34.6,3.93,29.1,75.9,11.39,7.25,3,8.57,7.63,3.4,11788165,7007,Medium (20-45%),Advanced,84.12,27.2
INST_00088,Kingswood Teaching State University [QAT-0088],Qatar,Middle East,Teaching University,Large (15K-30K),Public,2023-Q1,2023,Humanities,Cautious,22.21,2.66,17.6,68.4,16.17,8.57,1,7.21,1.74,3.84,7160137,1155,Medium (20-45%),Advanced,309.96,11.82
INST_00089,Ashford Research University [VIE-0089],Vietnam,Asia Pacific,Research University,Medium (5K-15K),Public,2023-Q2,2023,Business,Cautious,24.96,2.94,36.1,79.9,11.23,10.9,3,6.69,10.55,3.09,6791024,183,Medium (20-45%),Developing,1855.47,14.68
INST_00090,Hillcrest Technical Technical University [TUR-0090],Turkey,Middle East,Technical Institute,Very Large (>30K),Public,2024-Q2,2024,STEM,Cautious,49.57,3.99,39.5,77.6,16.92,17.27,8,8.1,20.42,4.02,16889183,2829,High (>45%),Advanced,298.5,39.56
INST_00091,Polytechnic Clearwater Tech [RWA-0091],Rwanda,Africa,Technical Institute,Medium (5K-15K),Public,2024-Q4,2024,Social Sciences,Permissive,82.0,3.1,26.3,83.3,48.0,-2.35,7,5.15,29.5,2.85,1937527,471,High (>45%),Developing,205.68,50.84
INST_00092,University of Oakville [UNI-0092],United Kingdom,Europe,Research University,Very Large (>30K),Public,2024-Q2,2024,Health Sciences,Restrictive,34.07,3.75,55.3,97.7,8.05,18.36,6,8.61,32.73,3.67,20353296,1375,Medium (20-45%),Advanced,740.12,25.55
INST_00093,Applied Cedarville Polytechnic [POR-0093],Portugal,Europe,Technical Institute,Large (15K-30K),Public,2023-Q2,2023,STEM,Integrated,50.38,4.23,52.7,89.3,5.74,16.31,6,8.64,8.79,4.58,5251634,1128,High (>45%),Advanced,232.79,42.62
INST_00094,Riverside Teaching Academic University [BEL-0094],Belgium,Europe,Teaching University,Large (15K-30K),Public,2023-Q2,2023,Humanities,Cautious,27.05,2.81,33.9,77.4,11.42,14.68,3,6.99,3.95,3.85,6164461,423,Medium (20-45%),Developing,728.66,15.2
INST_00095,Riverside Research University [NIG-0095],Nigeria,Africa,Research University,Very Large (>30K),Private,2024-Q1,2024,Social Sciences,Permissive,65.61,2.33,16.9,78.4,37.14,-0.09,7,4.53,40.74,3.23,9035833,5553,High (>45%),Developing,81.36,30.57
INST_00096,Willowdale Community College [SIN-0096],Singapore,Asia Pacific,Community College,Medium (5K-15K),Public,2024-Q4,2024,Business,Cautious,29.37,3.49,22.2,55.2,16.44,-0.63,5,7.03,2.79,3.13,1486833,492,Medium (20-45%),Advanced,151.1,20.5
INST_00097,Clearwater Polytechnic [POL-0097],Poland,Europe,Technical Institute,Medium (5K-15K),Private,2023-Q3,2023,Multidisciplinary,Cautious,34.17,3.24,37.8,82.1,12.57,13.53,4,7.0,9.24,4.0,5519196,255,Medium (20-45%),Developing,1082.2,22.14
INST_00098,Cedarville Liberal Institute [UNI-0098],United States,North America,Liberal Arts College,Small (<5K),Private,2024-Q3,2024,Social Sciences,Restrictive,28.57,3.64,42.6,94.8,5.96,13.43,4,8.67,6.21,3.39,2976367,59,Medium (20-45%),Advanced,2522.34,20.8
INST_00099,Kingswood Institute of Technology [MEX-0099],Mexico,North America,Technical Institute,Medium (5K-15K),Private,2024-Q1,2024,Multidisciplinary,Permissive,82.0,3.14,34.2,98.0,41.38,4.55,12,7.91,41.05,3.3,8854648,359,High (>45%),Advanced,1233.24,51.5
